Frequency (Hz),Amplitude
7000.000000000588,7.165062735736624e-05
7100.0000000005975,6.32175695884212e-05
7200.000000000606,3.488448844233628e-05
7300.000000000614,5.097300492801999e-05
7400.000000000622,3.762374612321245e-05
7500.000000000631,5.12175385130839e-05
7600.000000000639,0.00011800524592430011
7700.000000000648,4.365288938440119e-05
7800.000000000656,5.1198490851844786e-05
7900.000000000665,3.534029283651861e-05
8000.000000000673,3.800906572290539e-05
8100.000000000681,9.860384647674144e-06
8200.00000000069,5.088233723865366e-05
8300.000000000698,5.920768223885296e-05
8400.000000000706,4.267439587449317e-05
8500.000000000715,9.168643246024282e-06
8600.000000000724,3.641517703481633e-05
8700.000000000731,4.62928915271797e-05
8800.00000000074,2.8718111176174964e-05
8900.00000000075,0.00011412792139877074
9000.000000000757,1.9172258473623596e-05
9100.000000000766,3.246748135165707e-05
9200.000000000773,4.331340795213942e-05
9300.000000000782,3.257370309878078e-05
9400.000000000791,6.328919682232416e-05
9500.000000000799,4.524491223955366e-05
9600.000000000808,5.766972422240793e-05
9700.000000000817,8.407605068950956e-05
9800.000000000824,4.2112343555155976e-05
9900.000000000833,2.612933589697918e-05
10000.00000000084,3.825339523589629e-05
10100.00000000085,8.575481261796477e-05
10200.000000000859,8.33494365509405e-06
10300.000000000866,4.922162771539059e-05
10400.000000000875,5.909558635519985e-05
10500.000000000884,1.9726384100434232e-05
10600.000000000891,0.00010075003578944489
10700.0000000009,1.4809530587176485e-05
10800.000000000908,3.82933652855958e-05
10900.000000000917,6.507667529235103e-05
11000.000000000926,1.8845238195765558e-05
11100.000000000933,6.0169571109266994e-05
11200.000000000942,1.832900093902257e-05
11300.000000000951,2.9542339058194928e-05
11400.000000000959,6.728964711241387e-06
11500.000000000968,8.285307604556676e-05
11600.000000000975,2.9062388897046775e-05
11700.000000000984,3.606431224026516e-05
11800.000000000993,9.110310341613995e-05
11900.000000001,2.9807724335022864e-05
12000.00000000101,1.754638544216942e-05
12100.000000001019,4.60335797414295e-05
12200.000000001026,3.6097764692769925e-05
12300.000000001035,3.3979246752836664e-05
12400.000000001042,3.7256821738426514e-05
12500.000000001051,1.579604399310502e-05
12600.00000000106,5.5463122104222127e-05
12700.000000001068,1.7099189789843096e-05
12800.000000001077,4.939135446696495e-05
12900.000000001086,7.008741208573397e-05
13000.000000001093,4.14624995277874e-05
13100.000000001102,1.2760375498145152e-05
13200.00000000111,5.038478807075855e-05
13300.000000001119,4.010831077773563e-05
13400.000000001128,3.831058011625718e-05
13500.000000001135,6.827417156734417e-06
13600.000000001144,9.508122285472312e-06
13700.000000001153,3.0230356847659946e-05
13800.00000000116,3.300826692581279e-05
13900.00000000117,5.690840741210186e-05
14000.000000001177,5.5677767697137396e-05
14100.000000001186,7.919495789401773e-05
14200.000000001195,6.159920239993346e-05
14300.000000001202,2.254098955563061e-05
14400.000000001211,4.676834982071357e-05
14500.00000000122,1.1959468979950432e-05
14600.000000001228,6.4209141519922584e-06
14700.000000001237,5.444699849545241e-05
14800.000000001244,8.36675537874141e-05
14900.000000001253,6.713820624337159e-05
15000.000000001262,7.244242921759501e-05
15100.00000000127,2.7937617656834326e-05
15200.000000001279,5.06776180095663e-05
15300.000000001286,7.803960357090497e-05
15400.000000001295,5.912260521474799e-05
15500.000000001304,2.3010237775040032e-05
15600.000000001311,4.475018637957961e-05
15700.00000000132,1.5030847812902173e-05
15800.00000000133,2.8216381142314164e-05
15900.000000001337,6.380268519072527e-05
16000.000000001346,6.462441621772796e-06
16100.000000001353,3.592650166793369e-05
16200.000000001362,5.0550071272966765e-05
16300.000000001372,5.34581574616121e-05
16400.00000000138,3.0246356606936148e-05
16500.000000001386,3.627583537571199e-05
16600.000000001397,7.311788072809004e-06
16700.000000001404,6.874464878175357e-05
16800.00000000141,0.00012423009007018096
16900.000000001422,6.687698630443991e-05
17000.00000000143,3.485228638984929e-05
17100.000000001437,9.354163895207177e-05
17200.000000001448,6.54291008227695e-05
17300.000000001455,7.512239582471017e-05
17400.000000001462,7.633953409314151e-05
17500.000000001473,9.756345177653277e-05
17600.00000000148,1.2793139038814137e-05
17700.000000001488,1.4784533100382334e-05
17800.0000000015,6.184454796302404e-06
17900.000000001506,5.366753284068461e-05
18000.000000001513,6.176471377981257e-05
18100.00000000152,8.317601824411742e-05
18200.00000000153,4.9926993727361075e-05
18300.00000000154,4.466352923116468e-05
18400.000000001546,4.49620909655556e-06
18500.000000001557,6.846776368403418e-05
18600.000000001564,2.4976635061431888e-05
18700.00000000157,4.806471595907426e-05
18800.000000001583,7.300587390311227e-05
18900.00000000159,6.507857391986189e-05
19000.000000001597,9.878122081617448e-05
19100.000000001608,3.796492374262731e-05
19200.000000001615,4.171065748105742e-05
19300.000000001623,6.0656745517914265e-05
19400.000000001633,1.7005909044820613e-05
19500.00000000164,7.406287284679546e-05
19600.000000001648,7.87394081498284e-05
19700.000000001655,8.060030591633372e-05
19800.000000001666,0.00029064617519160263
19900.000000001673,0.0002421382366745702
20000.00000000168,0.06562595000053399
20100.00000000169,0.00018864902956697535
